id,titulo,anio,estado_juego,vinculo_preliminar,fuente,url,nota,estado_triage,ficha_id,origen,origen_ref,fecha_estado,motivo_decision,eje_sugerido,ejes_culturales_sugeridos,notas_triage
desktop-mate-kagamine-len-dlc,Desktop Mate Kagamine Len DLC,,publicado,escenario,https://store.steampowered.com/app/4018700/,https://store.steampowered.com/app/4018700/,Candidato Steam app 4018700.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kagamine-rin-dlc,Desktop Mate Kagamine Rin DLC,,publicado,escenario,https://store.steampowered.com/app/4018690/,https://store.steampowered.com/app/4018690/,Candidato Steam app 4018690.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kaito-dlc,Desktop Mate KAITO DLC,,publicado,escenario,https://store.steampowered.com/app/4791000/,https://store.steampowered.com/app/4791000/,Candidato Steam app 4791000.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kasukabe-tsumugi-dlc,Desktop Mate Kasukabe Tsumugi DLC,,publicado,escenario,https://store.steampowered.com/app/4640430/,https://store.steampowered.com/app/4640430/,Candidato Steam app 4640430.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kizuna-ai-dlc,Desktop Mate Kizuna AI DLC,,publicado,escenario,https://store.steampowered.com/app/4745480/,https://store.steampowered.com/app/4745480/,Candidato Steam app 4745480.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kizuna-akari-dlc,Desktop Mate Kizuna Akari DLC,,publicado,escenario,https://store.steampowered.com/app/4018680/,https://store.steampowered.com/app/4018680/,Candidato Steam app 4018680.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kotonoha-akane-dlc,Desktop Mate Kotonoha Akane DLC,,publicado,escenario,https://store.steampowered.com/app/4474310/,https://store.steampowered.com/app/4474310/,Candidato Steam app 4474310.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kotonoha-aoi-dlc,Desktop Mate Kotonoha Aoi DLC,,publicado,escenario,https://store.steampowered.com/app/4474320/,https://store.steampowered.com/app/4474320/,Candidato Steam app 4474320.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-kuromi-dlc,Desktop Mate KUROMI DLC,,publicado,escenario,https://store.steampowered.com/app/4145060/,https://store.steampowered.com/app/4145060/,Candidato Steam app 4145060.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-meiko-dlc,Desktop Mate MEIKO DLC,,publicado,escenario,https://store.steampowered.com/app/4791010/,https://store.steampowered.com/app/4791010/,Candidato Steam app 4791010.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-my-melody-dlc,Desktop Mate MY MELODY DLC,,publicado,escenario,https://store.steampowered.com/app/4145080/,https://store.steampowered.com/app/4145080/,Candidato Steam app 4145080.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
